Order ID,Amount,Profit,Quantity,Category,Sub-Category
B-25601,1275.0,-1148.0,7,Furniture,Bookcases
B-25601,66.0,-12.0,5,Clothing,Stole
B-25601,8.0,-2.0,3,Clothing,Hankerchief
B-25601,80.0,-56.0,4,Electronics,Electronic Games
B-25602,168.0,-111.0,2,Electronics,Phones
B-25602,424.0,-272.0,5,Electronics,Phones
B-25602,2617.0,1151.0,4,Electronics,Phones
B-25602,561.0,212.0,3,Clothing,Saree
B-25602,119.0,-5.0,8,Clothing,Saree
B-25603,1355.0,-60.0,5,Clothing,Trousers
B-25603,24.0,-30.0,1,Furniture,Chairs
B-25603,193.0,-166.0,3,Clothing,Saree
B-25603,180.0,5.0,3,Clothing,Trousers
B-25603,116.0,16.0,4,Clothing,Stole
B-25603,107.0,36.0,6,Clothing,Stole
B-25603,12.0,1.0,2,Clothing,Hankerchief
B-25603,38.0,18.0,1,Clothing,Kurti
B-25604,65.0,17.0,2,Clothing,T-Shirt
B-25604,157.0,5.0,9,Clothing,Saree
B-25605,75.0,0.0,7,Clothing,Saree
B-25606,87.0,4.0,2,Clothing,Shirt
B-25607,50.0,15.0,4,Clothing,Leggings
B-25608,1364.0,-1864.0,5,Furniture,Tables
B-25608,476.0,0.0,3,Furniture,Chairs
B-25608,257.0,23.0,5,Clothing,Hankerchief
B-25608,856.0,385.0,6,Electronics,Printers
B-25609,485.0,29.0,4,Electronics,Electronic Games
B-25609,25.0,-5.0,4,Clothing,Saree
B-25610,1076.0,-38.0,4,Electronics,Printers
B-25610,107.0,-54.0,4,Clothing,Stole
B-25610,68.0,-55.0,5,Electronics,Accessories
B-25610,781.0,-594.0,6,Electronics,Printers
B-25610,43.0,0.0,3,Clothing,Saree
B-25610,30.0,-5.0,2,Furniture,Furnishings
B-25611,160.0,-59.0,2,Clothing,Saree
B-25612,259.0,-55.0,2,Furniture,Chairs
B-25613,1603.0,0.0,9,Clothing,Saree
B-25614,494.0,54.0,4,Furniture,Bookcases
B-25614,98.0,-12.0,2,Electronics,Electronic Games
B-25615,68.0,20.0,5,Clothing,Hankerchief
B-25616,42.0,12.0,5,Clothing,Hankerchief
B-25616,116.0,-56.0,5,Clothing,Stole
B-25616,22.0,-2.0,3,Clothing,Hankerchief
B-25616,14.0,-2.0,3,Clothing,Hankerchief
B-25617,305.0,-270.0,5,Electronics,Electronic Games
B-25618,362.0,127.0,1,Furniture,Bookcases
